Date,Open,High,Low,Close,Volume,sentiment_negative,sentiment_neutral,sentiment_positive,sentiment_score
1/4/2021,133.5200,133.6100,126.7600,129.4100,143300000.0000,0.0150,0.9290,0.0560,0.9630
1/5/2021,128.8900,131.7400,128.4300,131.0100,97660000.0000,0.0298,0.8960,0.0742,0.8213
1/6/2021,127.7200,131.0500,126.3800,126.6000,155090000.0000,0.0065,0.9025,0.0910,0.9060
1/7/2021,128.3600,131.6300,127.8600,130.9200,109580000.0000,0.0677,0.8443,0.0880,0.5427
1/8/2021,132.4300,132.6300,130.2300,132.0500,105160000.0000,0.0191,0.8720,0.1088,0.9472
1/11/2021,129.1900,130.1700,128.5000,128.9800,100620000.0000,0.0315,0.8619,0.1067,0.9326
1/12/2021,128.5000,129.6900,126.8600,128.8000,91950000.0000,0.0438,0.8518,0.1046,0.9180
1/13/2021,128.7600,131.4500,128.4900,130.8900,88640000.0000,0.0506,0.8898,0.0596,0.1556
1/14/2021,130.8000,131.0000,128.7600,128.9100,90220000.0000,0.0430,0.8203,0.1373,0.9980
1/15/2021,128.7800,130.2200,127.0000,127.1400,111600000.0000,0.0388,0.8603,0.1010,0.8601
1/19/2021,127.7800,128.7100,126.9400,127.8300,90760000.0000,0.0420,0.8744,0.0840,0.2394
1/20/2021,128.6600,132.4900,128.5500,132.0300,104320000.0000,0.0000,0.9510,0.0490,0.8550
1/21/2021,133.8000,139.6700,133.5900,136.8700,120530000.0000,0.0512,0.8820,0.0672,0.0672
1/22/2021,136.2800,139.8500,135.0200,139.0700,114460000.0000,0.0199,0.8722,0.1078,0.9949
1/25/2021,143.0700,145.0900,136.5400,142.9200,157610000.0000,0.0518,0.8761,0.0721,0.6099
1/26/2021,143.6000,144.3000,141.3700,143.1600,98390000.0000,0.0251,0.8470,0.1276,0.9583
1/27/2021,143.4300,144.3000,140.4100,142.0600,140840000.0000,0.0310,0.8360,0.1330,0.9960
1/28/2021,139.5200,141.9900,136.7000,137.0900,142620000.0000,0.0470,0.8422,0.1108,0.5235
1/29/2021,135.8300,136.7400,130.2100,131.9600,177520000.0000,0.0802,0.8524,0.0678,0.4322
2/1/2021,133.7500,135.3800,130.9300,134.1400,106240000.0000,0.0040,0.8920,0.1040,0.9910
2/2/2021,135.7300,136.3100,134.6100,134.9900,83310000.0000,0.0688,0.8552,0.0755,0.3708
2/3/2021,135.7600,135.7700,133.6100,133.9400,89880000.0000,0.0075,0.8665,0.1260,0.9250
2/4/2021,136.3000,137.4000,134.5900,137.3900,84180000.0000,0.0198,0.8524,0.1282,0.9988
2/5/2021,137.3500,137.4200,135.8600,136.7600,75690000.0000,0.0290,0.8450,0.1260,0.7668
