date,sentiment_negative,sentiment_neutral,sentiment_positive,sentiment_score
2020-03-23,0.02,0.869,0.111,0.994
2020-03-24,0.076,0.83,0.094,0.94
2020-03-27,0.0285,0.901,0.07,0.9795
2020-03-30,0.06,0.872,0.0685,0.1555
2020-04-07,0.072,0.837,0.091,0.238
2020-04-08,0.046,0.904,0.05,0.559
2020-04-09,0.052,0.844,0.104,0.987
2020-04-23,0.08066667,0.84966666,0.07,-0.78066665
2020-04-24,0.05,0.8305,0.1195,0.999
2020-04-27,0.038,0.8726,0.0892,0.8918
2020-04-28,0.026,0.901,0.073,0.98
2020-04-30,0.028,0.86,0.112,0.994
2020-05-01,0.031,0.848,0.12,0.998
2020-05-05,0.0105,0.907,0.0825,0.6475
2020-05-06,0.056,0.825,0.119,0.991
2020-05-07,0.0205,0.86,0.119,0.9785
2020-05-12,0.015,0.888,0.097,0.997
2020-05-13,0.0665,0.8565,0.077,-0.027
2020-05-14,0.0015,0.8955,0.103,0.9715
2020-05-15,0.034,0.872,0.094,0.984
2020-05-18,0.079,0.797,0.124,0.996
2020-05-19,0.015,0.851,0.134,0.998
2020-05-20,0.0515,0.866,0.083,0.85
2020-05-28,0.023,0.919,0.058,0.973
2020-06-10,0.039,0.867,0.095,0.996
2020-06-15,0.061,0.849,0.091,0.953
2020-06-19,0.021,0.901,0.078,0.995
2020-06-24,0.048,0.938,0.013,-0.908
2020-06-29,0.09,0.8565,0.0535,0.3025
2020-07-02,0.067666665,0.8286667,0.10366666,0.344
2020-07-07,0.056,0.85333335,0.09066667,0.90066665
2020-07-08,0.054,0.909,0.037,-0.676
2020-07-14,0.026,0.888,0.086,0.992
2020-07-15,0.029,0.841,0.129,0.999
2020-07-16,0.0335,0.882,0.084,0.927
2020-07-17,0.054,0.868,0.079,0.819
2020-07-20,0.041,0.868,0.091,0.987
2020-07-30,0.023,0.916,0.061,0.976
2020-08-03,0.03475,0.8895,0.07575,0.93875
2020-08-05,0.022,0.885,0.093,0.906
2020-08-06,0.031,0.892,0.077,0.984
2020-08-07,0.051,0.856,0.093,0.989
2020-08-10,0.052,0.845,0.103,0.991
2020-08-11,0.029,0.827,0.143,0.998
2020-08-13,0.055,0.875,0.069,0.882
2020-08-18,0.032,0.89166665,0.07666667,0.9213333
2020-08-19,0.067,0.824,0.109,0.988
2020-08-20,0.099,0.836,0.065,-0.908
2020-08-21,0.021,0.9,0.079,0.998
2020-08-24,0.0968,0.8346,0.0686,0.0032
2020-08-25,0.02,0.897,0.084,0.991
2020-08-27,0.021,0.962,0.017,-0.103
2020-08-28,0.021333333,0.92366666,0.055333335,0.67366666
2020-08-31,0.06,0.799,0.142,0.997
2020-09-02,0.0995,0.78175,0.119,0.46925
2020-09-03,0.0625,0.85825,0.07925,0.5505
2020-09-04,0.042,0.90425,0.05375,0.3525
2020-09-08,0.0,0.782,0.218,0.649
2020-09-09,0.053,0.7863333,0.16066666,0.9996667
2020-09-10,0.035,0.86,0.105,0.982
2020-09-11,0.047,0.905,0.048,0.78
2020-09-14,0.0305,0.901,0.069,0.866
2020-09-15,0.024,0.856,0.12,0.993
2020-09-16,0.053,0.849,0.098,0.975
2020-09-17,0.0214,0.8716,0.107,0.9002
2020-09-22,0.004,0.973,0.023,0.703
2020-09-24,0.0482,0.8914,0.0604,0.7298
2020-09-28,0.017,0.897,0.085,0.984
2020-09-29,0.060333334,0.87233335,0.06733333,0.5606667
2020-10-01,0.032,0.7245,0.2435,0.6635
2020-10-06,0.034,0.837,0.13,0.968
2020-10-07,0.046,0.85,0.104,0.98
2020-10-08,0.042333335,0.8576667,0.100666665,0.99
2020-10-09,0.05,0.769,0.18,1.0
2020-10-12,0.044333335,0.869,0.086666666,0.6533333
2020-10-13,0.157,0.731,0.112,-0.05
2020-10-16,0.0276,0.8514,0.1204,0.9894
2020-10-20,0.015,0.902,0.083,0.979
2020-10-21,0.0345,0.8695,0.0955,0.994
2020-10-22,0.066,0.859,0.076,0.202
2020-10-23,0.0255,0.8605,0.114,0.994
2020-10-26,0.057,0.843,0.099,0.997
2020-10-27,0.021,0.91,0.07,0.971
2020-10-28,0.017,0.905,0.078,0.956
2020-10-29,0.034,0.896,0.07,0.986
2020-10-30,0.047,0.8574,0.096,0.3782
2020-11-02,0.0872,0.7748,0.1388,0.4584
2020-11-03,0.011,0.93,0.059,0.986
2020-11-09,0.116,0.826,0.057666667,-0.51033336
2020-11-10,0.048,0.859,0.093,0.993
2020-11-11,0.008,0.929,0.063,0.988
2020-11-13,0.013,0.868,0.1195,0.9925
2020-11-23,0.019,0.878,0.103,0.993
2020-11-25,0.028,0.8845,0.088,0.865
2020-11-30,0.016,0.968,0.017,0.06
2020-12-01,0.0,0.871,0.129,0.987
2020-12-04,0.057,0.84,0.102,0.987
2020-12-07,0.042666666,0.82266665,0.13466667,0.98833334
2020-12-09,0.026,0.882,0.092,0.988
2020-12-10,0.006,0.9,0.094,0.991
2020-12-11,0.046,0.846,0.108,0.997
2020-12-14,0.08516667,0.85033333,0.0645,-0.0995
2020-12-15,0.0592,0.8548,0.086,0.2174
2020-12-16,0.007333333,0.88566667,0.10716667,0.923
2020-12-17,0.112,0.8195,0.069,-0.0015
2020-12-21,0.079,0.858,0.063,-0.883
2020-12-22,0.0335,0.87375,0.093,0.97125
2020-12-23,0.029,0.86266667,0.1085,0.98966664
2020-12-24,0.0345,0.938,0.027,-0.064
2020-12-28,0.0063333334,0.91433334,0.07966667,0.5071667
2020-12-29,0.0,0.711,0.289,0.875
2020-12-30,0.02325,0.76625,0.2105,0.9135
2021-01-04,0.015,0.929,0.056,0.963
2021-01-05,0.029833334,0.896,0.07416666,0.82133335
2021-01-06,0.0065,0.9025,0.091,0.906
2021-01-07,0.067666665,0.84433335,0.088,0.5426667
2021-01-08,0.019125,0.872,0.10875,0.94725
2021-01-12,0.0438,0.8518,0.1046,0.918
2021-01-13,0.0506,0.8898,0.0596,0.1556
2021-01-14,0.043,0.82033336,0.13733333,0.998
2021-01-15,0.0388,0.8603333,0.101,0.86013335
2021-01-19,0.042,0.8744,0.084,0.2394
2021-01-20,0.0,0.951,0.049,0.855
2021-01-21,0.0512,0.882,0.0672,0.0672
2021-01-22,0.019875,0.87225,0.10775,0.994875
2021-01-25,0.05175,0.876125,0.072125,0.609875
2021-01-26,0.025142858,0.847,0.12757143,0.9582857
2021-01-27,0.031,0.836,0.133,0.996
