date,title,description,source,url,content
2024-11-18T22:23:51Z,Mag 7 vs. S&P 493: Is earnings growth beginning to slow?,"Magnificent Seven stocks — which is comprised of Alphabet (GOOGL, GOOG), Amazon (AMZN), Apple (AAPL), Meta Platforms (META), Microsoft (MSFT), Nvidia (NVDA), and Tesla (TSLA) — are experiencing a deceleration in growth across their earnings. Nvidia is the next and final member of the group to report earnings this Wednesday, November 20. Yahoo Finance acnhor Julie Hyman joins Asking for a Trend to compare the Mag 7's earnings growth compared to that of the rest of the S&P 500 (^GSPC), referring back to Solidarity Capital CEO Jeff McClean's comments to Yahoo Finance: ""I think there's going to continue to be broadening with the rest of the S&P 493."" To watch more expert insights and analysis on the latest market action, check out more Asking for a Trend here. This post was written by Luke Carberry Mogan.",Yahoo,https://finnhub.io/api/news?id=430f9b307b24d9a2bb9cca9f70b479d684de50e3833e1e8f0bffb5817b8a590a,"Magnificent Seven stocks — which is comprised of Alphabet (GOOGL, GOOG), Amazon (AMZN), Apple (AAPL), Meta Platforms (META), Microsoft (MSFT), Nvidia (NVDA), and Tesla (TSLA) — are experiencing a deceleration in growth across their earnings. Nvidia is the next and final member of the group to report earnings this Wednesday, November 20. Yahoo Finance acnhor Julie Hyman joins Asking for a Trend to compare the Mag 7's earnings growth compared to that of the rest of the S&P 500 (^GSPC), referring back to Solidarity Capital CEO Jeff McClean's comments to Yahoo Finance: ""I think there's going to continue to be broadening with the rest of the S&P 493."" To watch more expert insights and analysis on the latest market action, check out more Asking for a Trend here. This post was written by Luke Carberry Mogan."
2024-11-18T19:20:10Z,Apple Evaluates Branded TV as Smart Home Focus Grows,Apple is reportedly reevaluating plans to release a branded television,Yahoo,https://finnhub.io/api/news?id=6907e58db6dfd3d62620847b09f924818b5d0db563820c2e423f03902bf182ac,Apple is reportedly reevaluating plans to release a branded television
2024-11-18T17:51:29Z,"Globalstar plans to shift listing to Nasdaq, announces reverse stock split","Investing.com - Globalstar Inc (NYSE:GSAT). plans to shift its stock listing to the Nasdaq Global Select Market in early 2025 and execute a reverse stock split to boost visibility and attract more institutional investors, the satellite communications provider said on Monday.",Yahoo,https://finnhub.io/api/news?id=9b96740fd00928491d6a28bba01960f56763c6baa91861a4f4b85a55bde046de,"Investing.com - Globalstar Inc (NYSE:GSAT). plans to shift its stock listing to the Nasdaq Global Select Market in early 2025 and execute a reverse stock split to boost visibility and attract more institutional investors, the satellite communications provider said on Monday."
2024-11-18T16:55:58Z,Apple's Tim Cook May Have Sighed Relief on a Trump Win,-- Apple's China reliance may prove to be a vulnerable target for the tech giant under President-elect Donald Trump. Bloomberg's Mark Gurman says CEO Tim Cook has some maneuvers that could alleviate...,Finnhub,https://finnhub.io/api/news?id=b280f0c2876f1d9d923b6cd60f4490104ef8aec82f8dc000eeb40dc63d7e8aba,-- Apple's China reliance may prove to be a vulnerable target for the tech giant under President-elect Donald Trump. Bloomberg's Mark Gurman says CEO Tim Cook has some maneuvers that could alleviate...
2024-11-18T16:32:00Z,Apple Inc. stock outperforms competitors on strong trading day,Apple Inc. stock outperforms competitors on strong trading day,MarketWatch,https://finnhub.io/api/news?id=082964593096d46d415e3ba6db03f1ae22a363d6ff5375566ba82e5cf73357b7,Apple Inc. stock outperforms competitors on strong trading day
2024-11-18T16:10:16Z,Breakout Watch: Warren Buffett Stock Smashes Apple And Amazon,Breakout Watch: Warren Buffett Stock Smashes Apple And Amazon,DowJones,https://finnhub.io/api/news?id=1c26185258277029fdc66f52fd20283f757051f63b73df730bd23f9547584058,Breakout Watch: Warren Buffett Stock Smashes Apple And Amazon
2024-11-18T15:43:17Z,Barclays Highlights Key Semiconductor Trends Including Nvidia Blackwell Ramp and Apple iPhone Cuts,"Nvidia's Blackwell production capacity is projected to double to 40,000 wafers per month by April 2025",Yahoo,https://finnhub.io/api/news?id=bf53ad271fb7c93444807e2bdaac23d9b32e32ddb16154b9c753daf8884cf63f,"Nvidia's Blackwell production capacity is projected to double to 40,000 wafers per month by April 2025"
2024-11-18T14:00:15Z,Investors Heavily Search Apple Inc. (AAPL): Here is What You Need to Know,"Zacks.com users have recently been watching Apple (AAPL) quite a bit. Thus, it is worth knowing the facts that could determine the stock's prospects.",Yahoo,https://finnhub.io/api/news?id=30af3a20c6175df16d88d990b0716af725066309d169d5c6cf06a765ffbdb79b,"Zacks.com users have recently been watching Apple (AAPL) quite a bit. Thus, it is worth knowing the facts that could determine the stock's prospects."
2024-11-18T13:53:21Z,CGO: Revisiting This Fund Following The Election,The Calamos Global Total Return Fund yields 8.23% but has underperformed the MSCI World Index. Learn why CGO stock may not be ideal for core portfolios.,SeekingAlpha,https://finnhub.io/api/news?id=e2af11517c02585365c838c72baf8d65f02ff6b20e596261fe7889a2064d0b0b,The Calamos Global Total Return Fund yields 8.23% but has underperformed the MSCI World Index. Learn why CGO stock may not be ideal for core portfolios.
2024-11-18T13:23:49Z,Why Nvidia stock is ripe for another surge: Investor,More reasons Wall Street loves Nvidia.,Yahoo,https://finnhub.io/api/news?id=574727db930bbd065065786e4cf87a11a4b402e4ab6c8583b23a2a72f50f90c3,More reasons Wall Street loves Nvidia.
2024-11-18T13:03:10Z,PTF: Technology Dashboard For November,This monthly article series reports industry metrics in the information technology sector. It also serves as top-down analysis of sector ETFs like XLK or IYW. Read our November update here.,SeekingAlpha,https://finnhub.io/api/news?id=980d65518950cd7aa7800217c8cb89727a3c02e2278bb871b86e7072c76f9f0a,This monthly article series reports industry metrics in the information technology sector. It also serves as top-down analysis of sector ETFs like XLK or IYW. Read our November update here.
2024-11-18T12:21:00Z,"Coinbase, Robinhood Will Get a Trump Boost, Analysts Say. Lighter Rules Are on the Way.","Coinbase, Robinhood Will Get a Trump Boost, Analysts Say. Lighter Rules Are on the Way.",MarketWatch,https://finnhub.io/api/news?id=497466c8e6bb89a1899f38ac82d32c857b77497f817a0f6caae1ef8660c114f5,"Coinbase, Robinhood Will Get a Trump Boost, Analysts Say. Lighter Rules Are on the Way."
2024-11-18T11:30:00Z,Apple: Easy Gains Likely Over,"Nvidia recently surpassed Apple in market cap, as the Jensen Huang-led company demonstrated its AI growth inflection. Explore more details here.",SeekingAlpha,https://finnhub.io/api/news?id=2340a766679e5f87d285203e4412823b495d6da5b42191cf20875455a13f9afe,"Nvidia recently surpassed Apple in market cap, as the Jensen Huang-led company demonstrated its AI growth inflection. Explore more details here."
2024-11-18T11:11:00Z,The Turtle And The Pendulum,"The market is a pendulum that forever swings between unsustainable optimism, which makes stocks too expensive. Click to read.",SeekingAlpha,https://finnhub.io/api/news?id=b280afebe818dd13fa6b45f7809670b8f63a2593252f5bac118e73cfa530ca1f,"The market is a pendulum that forever swings between unsustainable optimism, which makes stocks too expensive. Click to read."
